Link,Tags,Hubs,Unique user,Company name,Username,Number of comments,Number of positive votes,Number of negative votes,Number of views,Number of bookmarks
/ru/post/545908/,"space,jetbrains space",Kotlin,False,,Makentoshe,1,0,0,1700,3
/ru/post/548218/,"android,application,databinding,mvvm,kotlin,development,binding,recyclerviewadapter,recyclerview","Kotlin,GitHub,Разработка мобильных приложений,Open source,Разработка под Android",False,,Rasalexman,1,0,0,1000,20
/ru/company/yota/blog/546664/,"android,Блог компании Yota,kotlin,сборка,gradle","Kotlin,Разработка под Android,Groovy & Grails,Gradle",True,yota,Sistein,7,0,0,3000,72
/ru/post/560358/,"Kotlin,microsoft,c# vs kotlin,.net,kotlin vs c#,jvm,C#,java","Kotlin,Java,.NET,Разработка мобильных приложений,C#",False,,Chronicler,95,0,0,14000,36
/ru/company/JetBrains/blog/558618/,"dataset,deep learning,machine learning,Блог компании JetBrains,данные,kotlin,глубокое обучение,tensorflow,image processing","Kotlin,Open source,Машинное обучение,Big Data",True,JetBrains,zaleslaw,3,0,0,783,25
/ru/post/558896/,"java,kotlin","Java,Kotlin",False,,hyragano,6,0,0,2300,17
/ru/post/558892/,"Java,Kotlin,JetBrains,JVM","Java,Kotlin,Разработка мобильных приложений,Программирование",False,,Chronicler,38,0,0,7200,26
/ru/company/funcorp/blog/558412/,"разработка мобильных приложений,котлин,kotlin vs java,Блог компании FUNCORP,дискуссия,программирование,перевод,java,холивар,реддит","Java,Kotlin,Разработка мобильных приложений",True,funcorp,SergeAx,681,0,0,2300,122
/ru/post/558402/,"производство,API,проекты,скуд,кейс,учет,проектирование,урв,1с,контроль","Kotlin,Управление проектами,Бизнес-модели,Java,1С",False,,robertxzc,19,0,0,5500,23
/ru/company/JetBrains/blog/557458/,"event,jetbrains,kotlin,Блог компании JetBrains","Kotlin,Конференции",True,JetBrains,advertka,0,0,0,2200,4
/ru/company/otus/blog/555292/,"ktor,spring,kotlin,Блог компании OTUS,graphql","Kotlin,Программирование",True,otus,MaxRokatansky,1,0,0,1500,9
/ru/post/556318/,"android,swift,kotlin multiplatform,kotlin,multiplatform,kmm","Kotlin,Разработка под Android,Разработка мобильных приложений,Разработка под iOS",False,,CyberMike,1,0,0,3800,22
/ru/post/556292/,"timecobot,redis,telegram,банхаммер,kotlin,jvm,демократия,валюта","Kotlin,IT-стандарты,Управление сообществом,Социальные сети и сообщества,Программирование",False,,Reformat,51,0,0,397,21
/ru/post/555750/,"android,базы данных,миграции бд,Room","Kotlin,Разработка под Android,Разработка мобильных приложений",False,,steff,0,0,0,3000,7
/ru/post/555744/,"reactjs,javascript,kotlin","ReactJS,Kotlin,Веб-дизайн,Разработка веб-сайтов,JavaScript",False,,SerVB,7,0,0,3900,66
/ru/company/otus/blog/555286/,"Блог компании OTUS,ооп,kotlin,программирование","Kotlin,Программирование",True,otus,MaxRokatansky,1,0,0,7400,12
/ru/company/otus/blog/555134/,"Блог компании OTUS,ооп,kotlin","Kotlin,Программирование",True,otus,MaxRokatansky,4,0,0,7400,14
/ru/post/553784/,"telegrambot,kotlin",Kotlin,False,,InsanusMokrassar,4,0,0,397,26
/ru/company/raiffeisenbank/blog/552136/,"шахматный движок,kotlin,логические игры,шахматы,Блог компании Райффайзенбанк","Научно-популярное,Kotlin,Разработка игр,Логические игры",True,raiffeisenbank,devmark,0,0,0,9600,39
/ru/post/552002/,"intellij idea,transactions,spring-boot,spring,kotlin,idea,intellij idea plugin,plugin,java","Java,Kotlin",False,,pyltsinm,0,0,0,2000,45
/ru/company/vivid_money/blog/553232/,"архитектура по,android,vivid.money,Блог компании Vivid Money,архитектура,kotlin,elm,архитектура приложений,мобильная разработка,mvi,udf","Kotlin,Разработка под Android,Проектирование и рефакторинг,Программирование",True,vivid_money,diklimchuk,4,0,0,3800,14
/ru/post/552448/,"kafka streams,kafka binder,kotlin,gradle,spring cloud","Kotlin,Тестирование веб-сервисов,Микросервисы,Gradle,Распределённые системы",False,,Vito_8,0,0,0,2400,17
/ru/post/551856/,"android,jetpack compose,viewmodel,kotlin,snackbar","Kotlin,Разработка под Android,Разработка мобильных приложений,Дизайн мобильных приложений",False,,steff,0,0,0,683,10
/ru/company/lamoda/blog/546212/,"kotlin,wms,lamoda,java,склад,Блог компании Lamoda","Java,Kotlin",True,lamoda,imbananko,0,0,0,4900,21
/ru/company/simbirsoft/blog/546452/,"android,Блог компании SimbirSoft,refactoring,kotlin,clean code","Совершенный код,Kotlin,Разработка под Android,Разработка мобильных приложений",True,simbirsoft,mobileSimbirSoft,10,0,0,5100,42
